Rome	350	Italy
Alexandria	216	Egypt
Antioch	90	Syria
Smyrna	90	Asia Minor
Cádiz	65	Hispania
Salona	60	Dalmatia
Ephesus	51	Asia Minor
Carthage	50	Africa
Corinth	50	Greece
Jerash	40	Jordan
Apamea	37	Syria
Capua	36	Italy
Ancyra	34	Asia Minor
Nicomedia	34	Asia Minor
Oxyrhyncus	34	Egypt
Memphis	34	Egypt
Damascus	31	Syria
Bostra	30	Syria
Athens	28	Greece
Tarragona	27	Hispania
Cyzicus	24	Asia Minor
Hermopolis	24	Egypt
Pergamum	24	Asia Minor
Mytilene	23	Asia Minor
Arsinoe	20	Egypt
Córdoba	20	Hispania
Cirta	20	Africa
Hadrumetum	20	Africa
Pisa	20	Italy
Rusicade	20	Africa
Tyre	20	Syria
Catania	18	Italy
Nicaea	18	Asia Minor
Antiochia	17	Asia Minor
Antinoe	16	Egypt
Sicca V.	16	Africa
Mérida	15	Hispania
Miletus	15	Asia Minor
Naples	15	Italy
Heliopolis	14	Egypt
Baalbek	13.5	Syria
Thugga	13	Africa
Isaura	12	Asia Minor
Sidon	12	Syria
Bologna	10	Italy
Cartagena	10	Hispania
Hippo Regis	10	Africa
Jerusalem	10	Syria
Lambraesis	10	Africa
Pamplona	10	Hispania
Thysdrus	10	Africa
Trebizond	10	Asia Minor